title,artist,material,material_group,width_cm,height_cm,area_cm2,country,period_raw,birth_year,death_year,period_mid_year,style,genre,estimate_low_eur,estimate_high_eur,estimate_mid_eur,sale_price_eur,price_category
The Garden of Love,CHRISTOFFEL JEGHER AFTER PETER PAUL RUBENS,Unknown,Unknown,46.0,58.8,2704.8,Unknown,1596-1653,1596,1653,1624,Engraving,Engraving,5153,6870,6011,12985,Medium
Landscape with three gabled Cottages beside a Road,REMBRANDT HARMENSZ. VAN RIJN,Unknown,Unknown,20.32,20.32,412.9,Netherlands,1606-1669,1606,1669,1638,Engraving,Engraving,128822,214703,171762,194778,Premium
A Scholar in his Study ('Faust'),REMBRANDT HARMENSZ. VAN RIJN,Unknown,Unknown,21.0,15.8,331.8,Netherlands,1606-1669,1606,1669,1638,Engraving,Engraving,103057,154586,128821,216420,Premium
Christ crucified between the two Thieves: 'The Three Crosses',REMBRANDT HARMENSZ. VAN RIJN,Unknown,Unknown,38.5,45.2,1740.2,Netherlands,1606-1669,1606,1669,1638,Engraving,Engraving,858811,1288217,1073514,1186019,Premium
The Entombment,REMBRANDT HARMENSZ. VAN RIJN,Unknown,Unknown,21.1,16.1,339.71,Netherlands,1606-1669,1606,1669,1638,Engraving,Engraving,85881,128822,107351,194778,Premium
"Jan Lutma, Goldsmith",REMBRANDT HARMENSZ. VAN RIJN,Unknown,Unknown,19.8,14.9,295.02,Netherlands,1606-1669,1606,1669,1638,Engraving,Engraving,128822,214703,171762,238063,Premium
"Imaginary View of Padua, from: Vedute altre prese da i luoghi altre ideate da Antonio Canal","ANTONIO CANAL, CALLED CANALETTO",Unknown,Unknown,29.9,43.4,1297.66,Italy,1697-1768,1697,1768,1732,Engraving,Engraving,12882,21470,17176,23806,High
Adoration of the Magi,GIOVANNI BATTISTA TIEPOLO,Unknown,Unknown,43.2,29.1,1257.12,Italy,1696-1770,1696,1770,1733,Engraving,Engraving,6012,8588,7300,23806,High
Vue de la Grande Place du Vieux Marché du Coté de l'Eglise de la Sainte Croix et la Rue de la Porte neuve ('Der Altmarkt zu Dresden'),BERNARDO BELLOTTO,Unknown,Unknown,54.2,84.3,4569.06,Italy,1721-1780,1721,1780,1750,Engraving,Engraving,3435,5153,4294,8116,Medium
Wooded Landscape with two Country Carts and Figures,THOMAS GAINSBOROUGH,Unknown,Unknown,29.3,39.0,1142.7,England,1727-1788,1727,1788,1758,Engraving,Engraving,4294,6012,5153,7034,Medium
"Y aun no se van. (And still they don't go.), Plate 59 from: Los Caprichos",FRANCISCO DE GOYA Y LUCIENTES,Unknown,Unknown,21.6,15.4,332.64,Spain,1746-1828,1746,1828,1787,Engraving,Engraving,12882,21470,17176,23806,High
"Dibersión de España (Spanish Entertainment), from: The Bulls of Bordeaux",FRANCISCO DE GOYA Y LUCIENTES,Unknown,Unknown,30.1,41.2,1240.12,Spain,1746-1828,1746,1828,1787,Engraving,Engraving,68705,103057,85881,70337,Premium
Le ventre législatif (The Legislative Belly),HONORÉ DAUMIER,Unknown,Unknown,27.94,43.18,1206.45,France,1808-1879,1808,1879,1844,Engraving,Engraving,4294,6012,5153,11903,Medium
Le petit pont,CHARLES MERYON,Unknown,Unknown,26.4,19.3,509.52,France,1821-1868,1821,1868,1844,Engraving,Engraving,6012,8588,7300,11903,Medium
Le bon samaritain ('Abd-el Kader secourant un chrétien'),RODOLPHE BRESDIN,Unknown,Unknown,56.8,44.3,2516.24,France,1822-1885,1822,1885,1854,Engraving,Engraving,6870,10306,8588,30299,High
Portrait d'Edmond de Goncourt,FÉLIX BRACQUEMOND,Unknown,Unknown,55.3,39.5,2184.35,France,1833-1914,1833,1914,1874,Engraving,Engraving,6012,8588,7300,11903,Medium
Le liseur,ODILON REDON,Unknown,Unknown,31.5,23.6,743.4,France,1840-1916,1840,1916,1878,Engraving,Engraving,6870,10306,8588,20560,High
Les courses à Longchamps (The Races),ÉDOUARD MANET,Unknown,Unknown,40.1,51.5,2065.15,France,1832-1883,1832,1883,1858,Engraving,Engraving,17176,25764,21470,59516,Premium
Mlle Bécat aux Ambassadeurs,EDGAR DEGAS,Unknown,Unknown,20.8,19.5,405.6,France,1834-1917,1834,1917,1876,Engraving,Engraving,21470,30058,25764,43284,High
"Paysage sous bois, à l'Hermitage (Pontoise) (Woodlands at the Hermitage)",CAMILLE PISSARRO,Unknown,Unknown,22.0,27.0,594.0,France,1830-1903,1830,1903,1866,Engraving,Engraving,12882,17176,15029,23806,High
Le bain (The Bath),FÉLIX VALLOTTON,Unknown,Unknown,18.1,22.6,409.06,Switzerland,1865-1925,1865,1925,1895,Engraving,Engraving,25764,42941,34352,37874,High
La paresse (Laziness),FÉLIX VALLOTTON,Unknown,Unknown,17.8,22.2,395.16,Switzerland,1865-1925,1865,1925,1895,Engraving,Engraving,34352,51529,42940,43284,High
La petite blanchisseuse,PIERRE BONNARD,Unknown,Unknown,29.2,20.0,584.0,France,1867-1947,1867,1947,1907,Engraving,Engraving,10306,15459,12882,12985,Medium
"Maison dans la cour, from Quelques aspects de la vie de Paris",PIERRE BONNARD,Unknown,Unknown,34.3,25.7,881.51,France,1867-1947,1867,1947,1907,Engraving,Engraving,5153,6870,6011,4869,Low
"La Clownesse assise (Mademoiselle Cha-u-ka-o), from Elles",HENRI DE TOULOUSE-LAUTREC,Unknown,Unknown,52.1,40.3,2099.63,France,1864-1901,1864,1901,1882,Engraving,Engraving,68705,103057,85881,129852,Premium
"Femme au tub - Le tub, from Elles",HENRI DE TOULOUSE-LAUTREC,Unknown,Unknown,39.7,52.1,2068.37,France,1864-1901,1864,1901,1882,Engraving,Engraving,12882,21470,17176,20560,High
Das kranke Kind (The Sick Child),EDVARD MUNCH,Unknown,Unknown,35.8,26.7,955.86,Norway,1863-1944,1863,1944,1904,Engraving,Engraving,42941,60117,51529,102800,Premium
The Brooch. Eva Mudocci,EDVARD MUNCH,Unknown,Unknown,59.7,46.4,2770.08,Norway,1863-1944,1863,1944,1904,Engraving,Engraving,85881,128822,107351,194778,Premium
Les cartes ou La réussite,JACQUES VILLON,Unknown,Unknown,34.7,44.8,1554.56,France,1875-1963,1875,1963,1919,Engraving,Engraving,51529,68705,60117,64926,Premium
Brustbild einer Arbeiterfrau mit blauem Tuch (Bust of a Worker Woman with Blue Shawl ),KÄTHE KOLLWITZ,Unknown,Unknown,34.0,25.7,873.8,Germany,1867-1945,1867,1945,1906,Engraving,Engraving,17176,25764,21470,34627,High
Le grand bois,HENRI MATISSE,Unknown,Unknown,47.5,38.0,1805.0,France,1869-1954,1869,1954,1912,Engraving,Engraving,17176,25764,21470,21642,High
Fränzi liegend (Fränzi reclining),ERICH HECKEL,Unknown,Unknown,23.0,41.6,956.8,Germany,1883-1970,1883,1970,1926,Engraving,Engraving,85881,128822,107351,,
Liegendes Mädchen (Reclining Girl),KARL SCHMIDT-ROTTLUFF,Unknown,Unknown,27.2,33.5,911.2,Germany,1884-1976,1884,1976,1930,Engraving,Engraving,4294,6012,5153,11903,Medium
Tänzerin,EMIL NOLDE,Unknown,Unknown,53.7,69.2,3716.04,Germany,1867-1956,1867,1956,1912,Engraving,Engraving,103057,154586,128821,119031,Premium
Prophet,EMIL NOLDE,Unknown,Unknown,32.0,22.6,723.2,Germany,1867-1956,1867,1956,1912,Engraving,Engraving,6012,8588,7300,16232,Medium
Fischdampfer (Fishing Steamer),EMIL NOLDE,Unknown,Unknown,29.2,39.4,1150.48,Germany,1867-1956,1867,1956,1912,Engraving,Engraving,8588,12882,10735,12985,Medium
"Dampfer (groß, dunkel) (Steamship [Large, Dark])",EMIL NOLDE,Unknown,Unknown,20.32,40.64,825.8,Germany,1867-1956,1867,1956,1912,Engraving,Engraving,8588,12882,10735,,
Fox,GEORGES BRAQUE,Unknown,Unknown,54.3,37.8,2052.54,France,1882-1963,1882,1963,1922,Engraving,Engraving,6870,10306,8588,28135,High
Yvonne D. de profil,JACQUES VILLON,Unknown,Unknown,20.32,40.64,825.8,France,1875-1963,1875,1963,1919,Engraving,Engraving,15459,21470,18464,23806,High
Gelmeroda VII,LYONEL FEININGER,Unknown,Unknown,40.4,33.4,1349.36,United States / Germany,1871-1956,1871,1956,1914,Engraving,Engraving,5153,6870,6011,6493,Medium
Kopf Ludwig Schames (Head of Ludwig Schames),ERNST LUDWIG KIRCHNER,Unknown,Unknown,57.8,25.7,1485.46,Germany,1880-1938,1880,1938,1909,Engraving,Engraving,10306,15459,12882,15149,Medium
Selbstbildnis mit steifem Hut (Self-Portrait in Bowler Hat),MAX BECKMANN,Unknown,Unknown,31.4,23.9,750.46,Germany,1884-1950,1884,1950,1917,Engraving,Engraving,17176,25764,21470,28135,High
"Gruppenbildnis Edenbar (Group Portrait, Eden Bar)",MAX BECKMANN,Unknown,Unknown,49.2,49.5,2435.4,Germany,1884-1950,1884,1950,1917,Engraving,Engraving,17176,25764,21470,,
Sitzender Harlekin (Sitting Harlequin),HEINRICH CAMPENDONK,watercolor,Watercolor,37.7,29.0,1093.3,Unknown,1889-1957,1889,1957,1923,Engraving,Engraving,6870,10306,8588,8657,Medium
Selbstbildnis mit Grimasse (Self-Portrait with Grimace),MARC CHAGALL,Unknown,Unknown,36.2,26.4,955.68,Belarus / France,1887-1985,1887,1985,1936,Engraving,Engraving,8588,12882,10735,,
Rechnender Greis (Old Man calculating),PAUL KLEE,Unknown,Unknown,29.9,23.5,702.65,Switzerland / Germany,1879-1940,1879,1940,1910,Engraving,Engraving,10306,15459,12882,21642,High
L'éveil du géant,JOAN MIRÓ,Unknown,Unknown,27.0,23.9,645.3,Spain,1893-1983,1893,1983,1938,Engraving,Engraving,12882,17176,15029,17314,Medium
La géante,JOAN MIRÓ,Unknown,Unknown,35.0,23.9,836.5,Spain,1893-1983,1893,1983,1938,Engraving,Engraving,15459,21470,18464,20560,High
One Plate from: Série noire et rouge,JOAN MIRÓ,Unknown,Unknown,17.0,26.0,442.0,Spain,1893-1983,1893,1983,1938,Engraving,Engraving,17176,25764,21470,24888,High
One Plate from: Série noire et rouge,JOAN MIRÓ,Unknown,Unknown,17.0,26.0,442.0,Spain,1893-1983,1893,1983,1938,Engraving,Engraving,17176,25764,21470,25970,High
Françoise sur fond gris,PABLO PICASSO,Unknown,Unknown,62.6,47.0,2942.2,Spain,1881-1973,1881,1973,1927,Engraving,Engraving,68705,103057,85881,238063,Premium
Nature morte au verre sous la lampe,PABLO PICASSO,Unknown,Unknown,52.6,63.6,3345.36,Spain,1881-1973,1881,1973,1927,Engraving,Engraving,128822,171762,150292,205599,Premium
Red and White Petunia,BLANCHE LAZZELL,Unknown,Unknown,30.48,35.56,1083.87,United States,1878-1956,1878,1956,1917,Engraving,Engraving,6870,10306,8588,25970,High
The Skyrocket,BROR JULIUS OLSSON NORDFELDT,Unknown,Unknown,21.9,28.5,624.15,United States,1878-1955,1878,1955,1916,Engraving,Engraving,6870,10306,8588,17314,Medium
A Spring Day (Mother and Child),BROR JULIUS OLSSON NORDFELDT,Unknown,Unknown,20.32,27.94,567.74,United States,1878-1955,1878,1955,1916,Engraving,Engraving,12882,21470,17176,41120,High
Lady with a Fan and Sunflowers,ETHEL MARS,Unknown,Unknown,25.0,26.7,667.5,United States,1876-1959,1876,1959,1918,Engraving,Engraving,4294,6012,5153,9198,Medium
West Virginia Hills,BLANCHE LAZZELL,Unknown,Unknown,30.48,30.48,929.03,United States,1878-1956,1878,1956,1917,Engraving,Engraving,10306,15459,12882,77911,Premium
Austerity,FRANCES H. GEARHART,Unknown,Unknown,20.32,27.94,567.74,United States,1869-1958,1869,1958,1914,Engraving,Engraving,5153,6870,6011,6493,Medium
April,GUSTAVE BAUMANN,Unknown,Unknown,20.32,33.02,670.97,United States,1881-1971,1881,1971,1926,Engraving,Engraving,6870,10306,8588,6493,Medium
Artist Working,MABEL HEWIT,Unknown,Unknown,30.8,27.6,850.08,United States,1903-1984,1903,1984,1944,Engraving,Engraving,2147,3006,2576,5194,Low
Eight Bells,WINSLOW HOMER,Unknown,Unknown,48.7,62.5,3043.75,United States,1836-1910,1836,1910,1873,Engraving,Engraving,42941,60117,51529,110374,Premium
Perils of the Sea,WINSLOW HOMER,Unknown,Unknown,42.0,55.0,2310.0,United States,1836-1910,1836,1910,1873,Engraving,Engraving,34352,51529,42940,45448,High
A Voice from the Cliffs,WINSLOW HOMER,Unknown,Unknown,58.0,82.5,4785.0,United States,1836-1910,1836,1910,1873,Engraving,Engraving,34352,51529,42940,97389,Premium
"Fly Fishing, Saranac Lake",WINSLOW HOMER,Unknown,Unknown,44.0,57.2,2516.8,United States,1836-1910,1836,1910,1873,Engraving,Engraving,34352,51529,42940,70337,Premium
"Nocturne, from First Venice Set",JAMES ABBOTT MCNEILL WHISTLER,Unknown,Unknown,20.0,29.2,584.0,United States / United Kingdom,1834-1903,1834,1903,1868,Engraving,Engraving,42941,60117,51529,102800,Premium
"The Two Doorways, from First Venice Set",JAMES ABBOTT MCNEILL WHISTLER,Unknown,Unknown,20.2,29.1,587.82,United States / United Kingdom,1834-1903,1834,1903,1868,Engraving,Engraving,10306,15459,12882,28135,High
"Draped Figure, reclining",JAMES ABBOTT MCNEILL WHISTLER,Unknown,Unknown,20.4,31.0,632.4,United States / United Kingdom,1834-1903,1834,1903,1868,Engraving,Engraving,34352,51529,42940,43284,High
Evening on the Pier No. 3,MAURICE BRAZIL PRENDERGAST,Unknown,Unknown,20.32,20.32,412.9,United States,1858-1924,1858,1924,1891,Engraving,Engraving,34352,51529,42940,70337,Premium
Study of a Young Man (seated),JOHN SINGER SARGENT,Unknown,Unknown,29.2,21.8,636.56,United States,1856-1925,1856,1925,1890,Engraving,Engraving,8588,12882,10735,34627,High
The White Kimono,CHILDE HASSAM,Unknown,Unknown,19.1,27.9,532.89,United States,1859-1935,1859,1935,1897,Engraving,Engraving,5153,6870,6011,14067,Medium
A Stag at Sharkey's,GEORGE WESLEY BELLOWS,Unknown,Unknown,47.3,60.6,2866.38,United States,1882-1925,1882,1925,1904,Engraving,Engraving,51529,68705,60117,183957,Premium
Going West,THOMAS HART BENTON,Unknown,Unknown,30.8,59.1,1820.28,United States,1889-1975,1889,1975,1932,Engraving,Engraving,12882,17176,15029,28135,High
"Huck Finn, from The Missouri State Capitol Mural Series",THOMAS HART BENTON,Unknown,Unknown,41.9,54.9,2300.31,United States,1889-1975,1889,1975,1932,Engraving,Engraving,5153,6870,6011,12985,Medium
John Brown,JOHN STEUART CURRY,Unknown,Unknown,37.5,27.9,1046.25,United States,1897-1946,1897,1946,1922,Engraving,Engraving,2576,4294,3435,2381,Low
Emiliano Zapata,DIEGO RIVERA,Unknown,Unknown,41.1,33.5,1376.85,Mexico,1886-1957,1886,1957,1922,Engraving,Engraving,17176,25764,21470,28135,High
Sharecropper,ELIZABETH CATLETT,Unknown,Unknown,45.0,41.9,1885.5,United States,1915-2012,1915,2012,1964,Engraving,Engraving,6870,10306,8588,45448,High
Sharecropper,ELIZABETH CATLETT,Unknown,Unknown,11.0,15.2,167.2,United States,1915-2012,1915,2012,1964,Engraving,Engraving,6870,10306,8588,30299,High
"Night Shadows, from Six American Etchings (Series I)",EDWARD HOPPER,Unknown,Unknown,17.8,21.0,373.8,United States,1882-1967,1882,1967,1924,Engraving,Engraving,17176,25764,21470,86568,Premium
Evening Wind,EDWARD HOPPER,Unknown,Unknown,17.5,21.0,367.5,United States,1882-1967,1882,1967,1924,Engraving,Engraving,17176,25764,21470,97389,Premium
Night on the El Train,EDWARD HOPPER,Unknown,Unknown,19.0,20.2,383.8,United States,1882-1967,1882,1967,1924,Engraving,Engraving,128822,171762,150292,324631,Premium
American Landscape,EDWARD HOPPER,Unknown,Unknown,18.4,31.1,572.24,United States,1882-1967,1882,1967,1924,Engraving,Engraving,42941,60117,51529,70337,Premium
The Cat Boat,EDWARD HOPPER,Unknown,Unknown,19.7,24.8,488.56,United States,1882-1967,1882,1967,1924,Engraving,Engraving,34352,51529,42940,124442,Premium
Night in the Park,EDWARD HOPPER,Unknown,Unknown,20.0,20.6,412.0,United States,1882-1967,1882,1967,1924,Engraving,Engraving,42941,60117,51529,97389,Premium
East Side Interior,EDWARD HOPPER,Unknown,Unknown,20.32,25.4,516.13,United States,1882-1967,1882,1967,1924,Engraving,Engraving,12882,17176,15029,32463,High
The Lonely House,EDWARD HOPPER,Unknown,Unknown,20.0,25.0,500.0,United States,1882-1967,1882,1967,1924,Engraving,Engraving,128822,171762,150292,183957,Premium
Glow of the City,MARTIN LEWIS,Unknown,Unknown,28.6,36.2,1035.32,United States,1881-1962,1881,1962,1922,Engraving,Engraving,17176,25764,21470,45448,High
Rain on Murray Hill,MARTIN LEWIS,Unknown,Unknown,20.0,30.3,606.0,United States,1881-1962,1881,1962,1922,Engraving,Engraving,6870,10306,8588,8657,Medium
Shadow Dance,MARTIN LEWIS,Unknown,Unknown,23.9,27.3,652.47,United States,1881-1962,1881,1962,1922,Engraving,Engraving,17176,25764,21470,43284,High
Tattoo - Shave - Haircut,REGINALD MARSH,Unknown,Unknown,24.8,24.8,615.04,United States,1898-1954,1898,1954,1926,Engraving,Engraving,12882,17176,15029,18396,Medium
Woolworth Building (The Dance),JOHN MARIN,Unknown,Unknown,32.5,26.5,861.25,United States,1870-1953,1870,1953,1912,Engraving,Engraving,17176,25764,21470,49777,High
"Brooklyn Bridge, No. 6 (Swaying)",JOHN MARIN,Unknown,Unknown,27.2,22.2,603.84,United States,1870-1953,1870,1953,1912,Engraving,Engraving,6012,8588,7300,7575,Medium
Arrangement - New York,JAN MATULKA,Unknown,Unknown,41.5,32.0,1328.0,United States,1890-1972,1890,1972,1931,Engraving,Engraving,17176,25764,21470,25970,High
New York,LOUIS LOZOWICK,Unknown,Unknown,20.32,22.86,464.52,United States,1892-1973,1892,1973,1932,Engraving,Engraving,34352,51529,42940,51941,High
Brooklyn Bridge,LOUIS LOZOWICK,Unknown,Unknown,33.0,20.0,660.0,United States,1892-1973,1892,1973,1932,Engraving,Engraving,4294,6012,5153,9739,Medium
Manhattan Gateway,STOW WENGENROTH,Unknown,Unknown,20.32,45.72,929.03,United States,1906-1978,1906,1978,1942,Engraving,Engraving,5153,6870,6011,15149,Medium
Skyscraper,HOWARD COOK,Unknown,Unknown,45.4,22.2,1007.88,United States,1901-1980,1901,1980,1940,Engraving,Engraving,3435,5153,4294,3463,Low
Man's Canyons,SAMUEL MARGOLIES,Unknown,Unknown,30.1,22.5,677.25,United States,1897-1974,1897,1974,1936,Engraving,Engraving,6012,8588,7300,5952,Medium
Traffic Control,BENTON M. SPRUANCE,Unknown,Unknown,22.9,36.5,835.85,United States,1904-1967,1904,1967,1936,Engraving,Engraving,21470,30058,25764,45448,High
"The People Work - Morning, Noon, Evening, Night",BENTON M. SPRUANCE,Unknown,Unknown,20.32,48.26,980.64,United States,1904-1967,1904,1967,1936,Engraving,Engraving,21470,30058,25764,48695,High
Bowery Nocturne,RAPHAEL SOYER,Unknown,Unknown,32.4,45.4,1470.96,United States,1899-1987,1899,1987,1943,Engraving,Engraving,4294,6012,5153,11903,Medium
"Bread Line, New York",CLARE LEIGHTON,Unknown,Unknown,30.48,20.32,619.35,England,1898-1989,1898,1989,1944,Engraving,Engraving,4294,6012,5153,11903,Medium
Barber Shop Chord,STUART DAVIS,Unknown,Unknown,35.5,48.0,1704.0,United States,1892-1964,1892,1964,1928,Engraving,Engraving,17176,25764,21470,51941,High
Sixth Avenue El,STUART DAVIS,Unknown,Unknown,30.2,45.5,1374.1,United States,1892-1964,1892,1964,1928,Engraving,Engraving,17176,25764,21470,51941,High
Arrangement for Drums,BENTON M. SPRUANCE,Unknown,Unknown,24.1,37.5,903.75,United States,1904-1967,1904,1967,1936,Engraving,Engraving,6012,8588,7300,16232,Medium
Mannikin,ARSHILE GORKY,Unknown,Unknown,36.8,28.6,1052.48,Armenia / United States,1904-1948,1904,1948,1926,Engraving,Engraving,8588,12882,10735,34627,High
Barn Abstraction,CHARLES SHEELER,Unknown,Unknown,21.0,46.7,980.7,United States,1883-1965,1883,1965,1924,Engraving,Engraving,60117,85881,72999,140673,Premium
Roses,CHARLES SHEELER,Unknown,Unknown,40.3,28.6,1152.58,United States,1883-1965,1883,1965,1924,Engraving,Engraving,4294,6012,5153,7575,Medium
Yachts,CHARLES SHEELER,Unknown,Unknown,22.0,26.8,589.6,United States,1883-1965,1883,1965,1924,Engraving,Engraving,5153,6870,6011,19478,High
Delmonico Building,CHARLES SHEELER,Unknown,Unknown,24.8,17.1,424.08,United States,1883-1965,1883,1965,1924,Engraving,Engraving,6870,10306,8588,15149,Medium
Industrial Series #1,CHARLES SHEELER,Unknown,Unknown,20.8,28.3,588.64,United States,1883-1965,1883,1965,1924,Engraving,Engraving,25764,42941,34352,37874,High
Le Petit Vent du Nord,LOUIS WELDEN HAWKINS,Unknown,Unknown,37.8,26.7,1009.26,France,1849-1910,1849,1910,1880,Realism,Modern Art,11531,17296,14413,14529,Medium
Full-length nude study of Mary Best for 'Tristram and Yseult',HERBERT JAMES DRAPER,Unknown,Unknown,76.2,41.3,3147.06,United Kingdom,1864-1920,1864,1920,1892,Realism,Nude,28827,40358,34592,29058,High
"Head study of Dorothy Dene, in profile, for 'Faith'","FREDERIC, LORD LEIGHTON, P.R.A., R.W.S.",Unknown,Unknown,33.0,27.6,910.8,United Kingdom,1830-1896,1830,1896,1863,Realism,Modern Art,13837,20756,17296,14529,Medium
The Sluggard,"FREDERIC, LORD LEIGHTON, P.R.A., R.W.S.","bronze, brown patina",Bronze,,,,United Kingdom,1830-1896,1830,1896,1863,Realism,Modern Art,23062,34593,28827,24699,High
"Portrait of Cyril Flower, Lord Battersea","ANTHONY FREDERICK AUGUSTUS SANDYS, A.R.A.",Unknown,Unknown,64.8,52.5,3402.0,United Kingdom,1829-1904,1829,1904,1866,Realism,Portrait,34593,57655,46124,50852,High
"Head of Miss Margaret Elizabeth Benson (later Mrs Margaret Drummond, 1856-1941)","SIR EDWARD COLEY BURNE-JONES, BT., A.R.A., R.W.S.",Unknown,Unknown,26.0,13.6,353.6,United Kingdom,1833-1898,1833,1898,1866,Realism,Modern Art,13837,20756,17296,13076,Medium
Tristram and Isolde,EDMUND BLAIR LEIGHTON,oil on panel,Oil,15.5,27.3,423.15,United Kingdom,1853-1922,1853,1922,1888,Realism,Modern Art,13837,20756,17296,12350,Medium
Das Frauenbad am Felsentor,KARL MEDIZ,oil on canvas,Oil,153.4,155.5,23853.7,Germany,1868-1944,1868,1944,1906,Realism,Modern Art,34593,57655,46124,29058,High
Eros,EDGARD MAXENCE,oil on panel,Oil,28.9,41.7,1205.13,France,1871-1954,1871,1954,1912,Realism,Modern Art,6919,9225,8072,2179,Low
Mermaid rising from the sea,"HENRY JOHN STOCK, R.I., R.O.I.",Unknown,Unknown,37.5,26.7,1001.25,United Kingdom,1853-1930,1853,1930,1892,Realism,Modern Art,4612,6919,5765,10897,Medium
Sea Melodies,HERBERT JAMES DRAPER,"oil on panel, painted oval",Oil,34.9,24.8,865.52,United Kingdom,1854-1920,1854,1920,1887,Realism,Modern Art,23062,34593,28827,43587,High
Arctic Encounter,"ARTHUR WARDLE, R.I.",oil on board,Oil,34.0,25.5,867.0,United Kingdom,1864-1949,1864,1949,1906,Realism,Modern Art,11531,17296,14413,18888,Medium
Two female nude studies for 'The Lament for Icarus',HERBERT JAMES DRAPER,Unknown,Unknown,16.5,14.0,231.0,United Kingdom,1864-1920,1864,1920,1892,Realism,Nude,3459,5765,4612,,
